Data;Taxa de câmbio - R$ / US$ - comercial - compra - fim período - R$ - Banco Central do Brasil, Boletim, Seção Balanço de Pagamentos (Bacen / Boletim / BP) - BM12_ERCF12;
1968.11;1,36363636363636E-12;
1968.12;1,38545454545455E-12;
1969.01;1,38545454545455E-12;
1969.02;1,42181818181818E-12;
1969.03;1,44727272727273E-12;
1969.04;1,44727272727273E-12;
1969.05;1,46545454545455E-12;
1969.06;1,46545454545455E-12;
1969.07;1,48363636363636E-12;
1969.08;1,50181818181818E-12;
1969.09;1,50181818181818E-12;
1969.10;1,52363636363636E-12;
1969.11;1,55636363636364E-12;
1969.12;1,57454545454545E-12;
1970.01;1,57454545454545E-12;
1970.02;1,59272727272727E-12;
1970.03;1,62181818181818E-12;
1970.04;1,62181818181818E-12;
1970.05;1,64727272727273E-12;
1970.06;1,64727272727273E-12;
1970.07;1,68E-12;
1970.08;1,68E-12;
1970.09;1,70545454545455E-12;
1970.10;1,70545454545455E-12;
1970.11;1,75636363636364E-12;
1970.12;1,78909090909091E-12;
1971.01;1,78909090909091E-12;
1971.02;1,81818181818182E-12;
1971.03;1,84727272727273E-12;
1971.04;1,84727272727273E-12;
1971.05;1,87636363636364E-12;
1971.06;1,90909090909091E-12;
1971.07;1,90909090909091E-12;
1971.08;1,95272727272727E-12;
1971.09;1,98909090909091E-12;
1971.10;1,98909090909091E-12;
1971.11;2,03636363636364E-12;
1971.12;2,03636363636364E-12;
1972.01;2,09090909090909E-12;
1972.02;2,09090909090909E-12;
1972.03;2,11272727272727E-12;
1972.04;2,11272727272727E-12;
1972.05;2,13818181818182E-12;
1972.06;2,13818181818182E-12;
1972.07;2,15636363636364E-12;
1972.08;2,15636363636364E-12;
1972.09;2,17818181818182E-12;
1972.10;2,20363636363636E-12;
1972.11;2,22909090909091E-12;
1972.12;2,24727272727273E-12;
1973.01;2,24727272727273E-12;
1973.02;2,18181818181818E-12;
1973.03;2,18181818181818E-12;
1973.04;2,20363636363636E-12;
1973.05;2,20363636363636E-12;
1973.06;2,20363636363636E-12;
1973.07;2,21454545454545E-12;
1973.08;2,21454545454545E-12;
1973.09;2,22545454545455E-12;
1973.10;2,22545454545455E-12;
1973.11;2,22545454545455E-12;
1973.12;2,24727272727273E-12;
1974.01;2,24727272727273E-12;
1974.02;2,33454545454545E-12;
1974.03;2,33454545454545E-12;
1974.04;2,29090909090909E-12;
1974.05;2,29090909090909E-12;
1974.06;2,46545454545455E-12;
1974.07;2,49090909090909E-12;
1974.08;2,53818181818182E-12;
1974.09;2,57818181818182E-12;
1974.10;2,61090909090909E-12;
1974.11;2,65090909090909E-12;
1974.12;2,69090909090909E-12;
1975.01;2,73090909090909E-12;
1975.02;2,75636363636364E-12;
1975.03;2,8E-12;
1975.04;2,84E-12;
1975.05;2,88363636363636E-12;
1975.06;2,91636363636364E-12;
1975.07;2,93818181818182E-12;
1975.08;3,02181818181818E-12;
1975.09;3,08E-12;
1975.10;3,13454545454545E-12;
1975.11;3,21818181818182E-12;
1975.12;3,28E-12;
1976.01;3,34545454545455E-12;
1976.02;3,40727272727273E-12;
1976.03;3,59636363636364E-12;
1976.04;3,75272727272727E-12;
1976.05;3,81818181818182E-12;
1976.06;3,90181818181818E-12;
1976.07;3,96E-12;
1976.08;4,03636363636364E-12;
1976.09;4,10909090909091E-12;
1976.10;4,27636363636364E-12;
1976.11;4,36E-12;
1976.12;4,46545454545455E-12;
1977.01;4,55272727272727E-12;
1977.02;4,65454545454545E-12;
1977.03;4,72E-12;
1977.04;4,83636363636364E-12;
1977.05;5,06545454545455E-12;
1977.06;5,19272727272727E-12;
1977.07;5,26909090909091E-12;
1977.08;5,36E-12;
1977.09;5,42545454545455E-12;
1977.10;5,52E-12;
1977.11;5,61454545454545E-12;
1977.12;5,8E-12;
1978.01;5,87272727272727E-12;
1978.02;5,96363636363636E-12;
1978.03;6,12727272727273E-12;
1978.04;6,24363636363636E-12;
1978.05;6,4E-12;
1978.06;6,52E-12;
1978.07;6,65818181818182E-12;
1978.08;6,81818181818182E-12;
1978.09;6,96363636363636E-12;
1978.10;7,10545454545454E-12;
1978.11;7,25454545454545E-12;
1978.12;7,55636363636364E-12;
1979.01;7,87272727272727E-12;
1979.02;8,04E-12;
1979.03;8,36E-12;
1979.04;8,6E-12;
1979.05;9,28E-12;
1979.06;9,28E-12;
1979.07;9,44727272727273E-12;
1979.08;1,00509090909091E-11;
1979.09;1,07963636363636E-11;
1979.10;1,10109090909091E-11;
1979.11;1,16E-11;
1979.12;1,53927272727273E-11;
1980.01;1,58872727272727E-11;
1980.02;1,6404E-11;
1980.03;1,69454545454545E-11;
1980.04;1,77672727272727E-11;
1980.05;1,84036363636364E-11;
1980.06;1,89527272727273E-11;
1980.07;1,952E-11;
1980.08;2,02363636363636E-11;
1980.09;2,08690909090909E-11;
1980.10;2,19963636363636E-11;
1980.11;2,26618181818182E-11;
1980.12;2,36981818181818E-11;
1981.01;2,47636363636364E-11;
1981.02;2,60036363636364E-11;
1981.03;2,76909090909091E-11;
1981.04;2,94363636363636E-11;
1981.05;3,12E-11;
1981.06;3,30727272727273E-11;
1981.07;3,50545454545455E-11;
1981.08;3,71563636363636E-11;
1981.09;3,93090909090909E-11;
1981.10;4,15490909090909E-11;
1981.11;4,38327272727273E-11;
1981.12;4,624E-11;
1982.01;4,86436363636364E-11;
1982.02;5,10727272727273E-11;
1982.03;5,36254545454545E-11;
1982.04;5,63054545454545E-11;
1982.05;5,94E-11;
1982.06;6,26654545454545E-11;
1982.07;6,61090909090909E-11;
