"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.06.2023","118.087","108.339","120.519","108.335","262,94M","9,00%"
"01.05.2023","108.335","104.431","111.706","101.064","288,76M","3,74%"
"01.04.2023","104.432","101.883","108.277","99.898","218,34M","2,50%"
"01.03.2023","101.882","104.933","106.724","96.997","327,02M","-2,91%"
"01.02.2023","104.932","113.430","113.598","104.932","228,72M","-7,49%"
"01.01.2023","113.431","109.734","114.835","103.852","295,58M","3,37%"
"01.12.2022","109.735","112.479","113.761","101.632","307,11M","-2,45%"
"01.11.2022","112.486","116.037","120.039","107.245","339,62M","-3,06%"
"01.10.2022","116.037","110.048","120.752","110.048","301,26M","5,45%"
"01.09.2022","110.037","109.524","114.392","106.244","288,74M","0,47%"
"01.08.2022","109.523","103.165","114.376","101.694","297,13M","6,16%"
"01.07.2022","103.165","98.542","103.990","95.267","230,77M","4,69%"
"01.06.2022","98.542","111.351","112.709","97.758","243,63M","-11,50%"
"01.05.2022","111.351","107.876","112.690","102.386","276,34M","3,22%"
"01.04.2022","107.876","120.001","121.628","107.876","213,67M","-10,10%"
"01.03.2022","119.999","113.143","120.900","107.781","279,08M","6,06%"
"01.02.2022","113.142","112.143","115.735","109.125","235,49M","0,89%"
"01.01.2022","112.144","104.823","113.057","100.850","258,10M","6,98%"
"01.12.2021","104.822","101.916","109.493","100.727","234,06M","2,85%"
"01.11.2021","101.916","103.514","108.669","100.075","236,34M","-1,53%"
"01.10.2021","103.501","110.980","114.927","102.854","243,86M","-6,74%"
"01.09.2021","110.979","118.793","119.942","107.520","231,61M","-6,57%"
"01.08.2021","118.781","121.803","124.536","114.801","201,79M","-2,48%"
"01.07.2021","121.801","126.802","129.620","121.748","161,31M","-3,94%"
"01.06.2021","126.802","126.218","131.190","126.184","197,83M","0,46%"
"01.05.2021","126.216","118.951","126.216","117.631","184,24M","6,16%"
"01.04.2021","118.894","116.645","121.974","114.991","167,26M","1,94%"
"01.03.2021","116.634","110.036","117.249","107.319","246,48M","6,00%"
"01.02.2021","110.035","115.093","121.117","109.827","190,63M","-4,37%"
"01.01.2021","115.068","119.024","125.324","114.887","186,73M","-3,32%"
"01.12.2020","119.017","108.897","120.150","108.897","177,04M","9,30%"
"01.11.2020","108.893","93.968","111.603","93.968","217,76M","15,90%"
"01.10.2020","93.952","94.604","102.218","93.387","198,14M","-0,69%"
"01.09.2020","94.603","99.382","103.226","93.408","190,35M","-4,80%"
"01.08.2020","99.369","102.913","104.523","98.513","202,70M","-3,44%"
"01.07.2020","102.912","95.062","105.704","95.062","221,52M","8,27%"
"01.06.2020","95.056","87.395","97.694","86.837","232,33M","8,76%"
"01.05.2020","87.403","80.501","88.091","75.697","220,36M","8,57%"
"01.04.2020","80.506","73.011","83.598","67.803","209,52M","10,25%"
"01.03.2020","73.020","104.260","108.804","61.691","270,52M","-29,90%"
"01.02.2020","104.172","113.761","117.701","99.951","126,65M","-8,43%"
"01.01.2020","113.761","115.652","119.593","112.826","122,06M","-1,63%"
"01.12.2019","115.645","108.233","117.803","108.191","99,88M","6,85%"
"01.11.2019","108.233","107.221","109.672","105.261","95,99M","0,95%"
"01.10.2019","107.220","104.745","108.408","99.826","103,19M","2,36%"
"01.09.2019","104.745","101.133","106.001","99.406","97,54M","3,57%"
"01.08.2019","101.135","101.819","104.848","95.855","119,85M","-0,67%"
"01.07.2019","101.812","100.974","106.650","100.073","97,40M","0,84%"
"01.06.2019","100.967","97.036","102.617","95.686","90,98M","4,06%"
"01.05.2019","97.030","96.339","97.992","89.409","101,11M","0,70%"
"01.04.2019","96.353","95.423","97.610","92.338","93,19M","0,98%"
"01.03.2019","95.415","95.584","100.439","91.584","89,38M","-0,18%"
"01.02.2019","95.584","97.396","98.589","93.424","97,94M","-1,86%"
"01.01.2019","97.394","87.887","98.405","87.536","109,60M","10,82%"
"01.12.2018","87.887","89.511","91.242","83.892","82,22M","-1,81%"
"01.11.2018","89.504","87.428","90.246","84.030","90,78M","2,38%"
"01.10.2018","87.424","79.350","88.377","78.091","124,90M","10,19%"
"01.09.2018","79.342","76.676","80.107","74.275","67,45M","3,48%"
"01.08.2018","76.678","79.213","81.792","74.876","83,19M","-3,21%"
"01.07.2018","79.220","72.763","80.589","71.935","71,74M","8,88%"
"01.06.2018","72.763","76.779","78.892","69.069","96,20M","-5,20%"
"01.05.2018","76.754","86.111","86.678","75.337","99,40M","-10,87%"
"01.04.2018","86.116","85.365","87.179","82.762","66,97M","0,88%"
"01.03.2018","85.366","85.337","87.333","82.889","72,31M","0,01%"
"01.02.2018","85.354","84.913","88.318","79.690","73,81M","0,52%"
"01.01.2018","84.913","76.403","86.213","76.403","74,06M","11,14%"
"01.12.2017","76.402","71.955","76.437","71.356","56,34M","6,16%"
"01.11.2017","71.971","74.310","75.199","70.825","67,18M","-3,15%"
"01.10.2017","74.309","74.295","78.024","73.845","67,89M","0,02%"
"01.09.2017","74.294","70.848","76.420","70.846","71,06M","4,88%"
"01.08.2017","70.835","65.925","71.506","65.925","70,28M","7,46%"
"01.07.2017","65.920","62.901","66.048","62.035","55,45M","4,80%"
"01.06.2017","62.900","62.712","63.637","60.544","67,37M","0,30%"
"01.05.2017","62.712","65.404","68.792","60.315","89,45M","-4,12%"
"01.04.2017","65.403","64.989","66.211","62.826","56,79M","0,64%"
"01.03.2017","64.984","66.661","67.398","62.496","75,97M","-2,52%"
"01.02.2017","66.662","64.687","69.488","63.740","58,53M","3,08%"
"01.01.2017","64.671","60.227","66.594","59.371","61,92M","7,38%"
"01.12.2016","60.227","61.906","61.936","56.829","65,99M","-2,71%"
"01.11.2016","61.906","64.922","65.291","58.322","85,58M","-4,65%"
"01.10.2016","64.925","58.370","65.054","58.367","76,62M","11,23%"
"01.09.2016","58.367","57.902","60.311","56.459","70,19M","0,80%"
"01.08.2016","57.901","57.309","59.418","55.696","83,45M","1,03%"
"01.07.2016","57.308","51.540","57.474","50.825","77,32M","11,22%"
"01.06.2016","51.527","48.468","51.812","48.067","81,39M","6,30%"
"01.05.2016","48.472","53.910","54.113","48.292","81,20M","-10,09%"
"01.04.2016","53.911","50.054","54.978","47.874","91,67M","7,70%"
"01.03.2016","50.055","42.795","52.262","42.795","125,12M","16,97%"
"01.02.2016","42.794","40.397","43.601","38.596","71,70M","5,91%"
"01.01.2016","40.406","43.349","43.349","37.046","72,21M","-6,79%"
"01.12.2015","43.350","45.121","47.142","43.137","66,35M","-3,92%"
"01.11.2015","45.120","45.869","49.054","45.106","68,60M","-1,63%"
"01.10.2015","45.869","45.064","49.752","44.789","80,10M","1,80%"
"01.09.2015","45.059","46.625","49.396","43.767","81,48M","-3,36%"
"01.08.2015","46.626","50.867","50.867","42.749","73,39M","-8,33%"
"01.07.2015","50.865","53.081","53.456","48.624","66,97M","-4,17%"
